ID,City,Person
1481574059510467614,chicago,False
1481574224405462942,chicago,True
1481574229353889378,chicago,False
1481574351308276068,chicago,False
1481574367086299622,chicago,True
1481574414356283115,chicago,True
1481574485852991434,chicago,True
1481574511479736477,chicago,False
1481574552231689268,chicago,True
1481574555461847247,chicago,True
1481574685593763995,chicago,False
1481574755932035646,chicago,True
1481574795811519640,chicago,True
1481574923217697456,chicago,True
1481575155171670159,chicago,False
1481575220510007868,chicago,True
1481575367612739166,chicago,True
1481575385019519051,chicago,True
1481575425310016697,chicago,False
1481575504078542344,chicago,True
1481575577369476434,chicago,False
1481575759041634831,chicago,False
1481575806781967690,chicago,False
1481575905834133787,chicago,True
1481576118947327707,chicago,False
1481576160789119057,chicago,True
1481576221657413620,chicago,False
1481576285016633783,chicago,False
1481576294117553144,chicago,True
1481576349129941618,chicago,True
1481576456328602888,chicago,False
1481576561362556895,chicago,True
1481576649937885057,chicago,True
1481576650247667468,chicago,False
1481576653058386544,chicago,False
1481576677100206545,chicago,False
1481576821778347966,chicago,True
1481576878040082715,chicago,True
1481576912089372321,chicago,True
1481576944419270042,chicago,True
1481576971011272049,chicago,False
1481577020705144443,chicago,False
1481577052792312565,chicago,False
1481577204960916140,chicago,True
1481577253027966706,chicago,False
1481577261249092432,chicago,True
1481577264167979708,chicago,True
1481577462726667315,chicago,True
1481577549716559063,chicago,True
1481577570235082383,chicago,True
1481577634013896771,chicago,True
1481577765413035209,chicago,False
1481577906089933101,chicago,True
1481577916214344761,chicago,True
1481577942488125320,chicago,True
1481578021450006880,chicago,False
1481578115619801148,chicago,False
1481578130409534070,chicago,True
1481578146355556611,chicago,False
1481578158452186468,chicago,True
1481578236826757329,chicago,False
1481578309396550258,chicago,True
1481578353730457415,chicago,False
1481578417677444610,chicago,True
1481578421275559937,chicago,False
1481578661710029093,chicago,True
1481578672623655170,chicago,True
1481578714147007930,chicago,False
1481578718248922492,chicago,False
1481578719197715494,chicago,True
1481578723776967813,chicago,True
1481578790206424877,chicago,True
1481578945739534301,chicago,True
1481578981802124650,chicago,False
1481579045053006875,chicago,True
1481579054397373545,chicago,True
1481579104561904627,chicago,True
1481579110181383034,chicago,False
1481579121153986227,chicago,True
1481579135540500731,chicago,False
1481579187373432750,chicago,True
1481579238225185282,chicago,False
1481579273851783993,chicago,True
1481579321977119958,chicago,True
1481579398791450338,chicago,False
1481579433067498235,chicago,False
1481579433722625598,chicago,True
1481579505201131133,chicago,False
1481579593482955351,chicago,True
1481579614488509504,chicago,False
1481579616141121313,chicago,False
1481579623564268054,chicago,True
1481579747732563140,chicago,False
1481579755383155013,chicago,False
1481579802192219127,chicago,False
1481579842499461252,chicago,False
1481579845242472860,chicago,False
1481579950501973548,chicago,False
1481580014566445250,chicago,False
1481580038615795235,chicago,True
1481580040864342881,chicago,True
